"","age","racem","ugloanr","actcap","actded","actmgt","actrd","actrdt","actres","acttch","bapbpr","bayr","chchg","chcon","chfam","chlay","chloc","chot","chpay","chret","chsch","ctzfor","dgrdg","dgryr","eddad","edmom","emrg","emsecdt","facadv","facben","facchal","facind","facloc","facresp","facsal","facsec","facsoc"
"202",33,"6","02","Y","N","N","Y","Y","Y","N","1",2005,"N","N","N","N","N","Y","N","N","N","L","1",2005,"7","7","09","11","2","1","1","2","1","2","1","2","4"
"203",32,"3","02","N","N","N","N","N","N","N","1",2008,"L","L","L","L","L","L","L","L","L","L","1",2008,"8","4","05","21","2","1","2","2","2","2","1","2","2"
"204",32,"4","02","L","L","L","L","L","L","L","1",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"5","4","L","L","1","1","2","2","2","2","1","2","1"
"205",35,"4","02","N","N","Y","N","N","N","N","1",2005,"Y","N","N","N","N","N","Y","N","N","L","2",2014,"4","5","04","21","2","2","1","1","1","2","2","2","2"
"206",33,"1","02","N","Y","N","Y","Y","Y","N","L",2001,"L","L","L","L","L","L","L","L","L","2","2",2008,"4","4","03","21","1","1","1","1","2","1","1","1","1"
"207",34,"4","03","N","Y","N","Y","Y","N","Y","2",2004,"N","Y","N","N","Y","N","Y","N","N","L","1",2004,"2","3","03","22","2","2","2","1","1","2","2","2","2"
"208",33,"6","02","N","N","Y","N","N","N","N","1",2005,"N","N","N","N","N","N","Y","N","N","L","2",2013,"3","3","03","21","1","2","1","2","1","2","1","2","2"
"209",31,"4","07","L","L","L","L","L","L","L","1",2008,"L","L","L","L","L","L","L","L","L","L","2",2013,"3","2","L","L","2","1","1","2","1","2","1","3","1"
"210",35,"4","03","L","L","L","L","L","L","L","1",2002,"L","L","L","L","L","L","L","L","L","L","2",2009,"4","4","L","L","1","1","1","1","2","2","1","1","2"
"211",34,"4","04","N","N","N","N","Y","N","Y","2",2005,"L","L","L","L","L","L","L","L","L","L","2",2009,"4","3","03","12","2","2","1","1","2","1","2","2","1"
"212",33,"4","05","N","N","Y","N","N","N","N","1",2005,"Y","Y","N","N","N","N","Y","N","N","L","3",2015,"4","4","03","12","1","1","1","1","2","1","1","1","1"
"213",33,"4","04","N","N","Y","N","N","N","N","2",2006,"N","N","N","N","N","N","Y","N","N","L","1",2006,"3","4","03","21","2","1","1","2","1","2","1","1","2"
"214",32,"4","11","L","L","L","L","L","L","L","2",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"2","2","L","L","2","2","1","2","1","2","2","1","1"
"215",33,"1","02","N","N","N","N","N","N","N","L",2006,"L","L","L","L","L","L","L","L","L","2","2",2010,"4","3","03","21","2","2","2","2","2","2","2","2","2"
"216",33,"1","02","N","N","Y","Y","Y","Y","N","L",2005,"N","N","N","N","Y","N","N","N","N","2","2",2008,"2","1","03","11","1","1","1","2","2","1","1","1","1"
"217",34,"4","02","N","N","Y","N","N","N","N","2",2005,"L","L","L","L","L","L","L","L","L","L","2",2008,"5","5","03","31","1","1","1","1","1","1","1","1","1"
"218",32,"4","07","Y","Y","N","Y","Y","N","N","1",2006,"N","Y","N","Y","N","N","Y","N","N","L","1",2006,"4","3","04","21","2","2","1","1","1","2","1","2","2"
"219",35,"4","05","N","N","Y","N","N","N","N","1",2004,"L","L","L","L","L","L","L","L","L","L","1",2004,"3","3","04","21","2","1","2","2","2","2","1","1","2"
"220",33,"4","02","N","Y","Y","Y","Y","N","N","2",2007,"L","L","L","L","L","L","L","L","L","L","3",2012,"5","4","09","21","1","1","1","2","3","2","1","2","3"
"221",35,"4","05","N","N","Y","N","N","N","N","1",2003,"L","L","L","L","L","L","L","L","L","L","1",2003,"3","4","04","21","1","1","1","1","2","1","1","1","2"
"222",34,"3","07","N","N","N","N","N","N","N","2",2007,"L","L","L","L","L","L","L","L","L","L","1",2007,"2","3","04","21","1","1","3","1","2","1","1","1","1"
